epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.9612,3.4407,7.31428,0.64246,3.79755,2.38543,0.00093,0.07143,0.00089,0.00019,0,0,0,0,3.82988,7.53607,0.63165,4.75684,2.2627,0.00014,0.00014,0.00014
2,42.6093,2.37853,6.53118,0.64997,2.02906,1.46931,0.11078,0.14286,0.0568,0.02079,0,0,0,0,3.10058,7.43753,0.62737,6.10463,1.92035,0.00029406,0.00029406,0.00029406
3,62.1782,2.04796,5.83177,0.63775,1.77037,1.33863,0.30545,0.14286,0.11543,0.0587,0,0,0,0,2.392,7.13684,0.62519,5.77395,1.69546,0.000441784,0.000441784,0.000441784
4,81.9358,1.75392,5.25535,0.63566,1.5522,1.25815,0.22697,0.28571,0.2154,0.09754,0.0003,0.07143,3e-05,1e-05,2.32339,6.64259,0.62527,3.25657,1.82881,0.000583172,0.000583172,0.000583172
5,101.246,1.64774,4.895,0.62739,1.3314,1.19282,0.35832,0.55889,0.35761,0.14857,0.05128,0.07143,0.00469,0.00094,2.35493,6.15692,0.62203,2.03191,1.83069,0.000718224,0.000718224,0.000718224
6,120.987,1.55394,4.48681,0.61461,1.20713,1.12594,0.33948,0.5,0.3488,0.17502,0.0384,0.07143,0.00565,0.0006,2.33167,5.86209,0.60657,1.72999,1.85955,0.00084694,0.00084694,0.00084694
7,140.333,1.60034,4.2643,0.61228,1.17807,1.09429,0.24632,0.32777,0.24846,0.11685,0.78492,0.14286,0.15123,0.02306,2.56984,5.66107,0.59174,2.33931,1.9568,0.00096932,0.00096932,0.00096932
8,158.991,1.53786,4.11907,0.61539,1.16503,1.17444,0.2312,0.28571,0.2578,0.08181,0.90158,0.14286,0.17268,0.03371,2.57648,5.44331,0.58217,2.16373,1.90691,0.00108536,0.00108536,0.00108536
9,178.399,1.56258,3.89332,0.60348,1.16148,1.14172,0.40945,0.28571,0.28768,0.10767,0.45297,0.21429,0.26077,0.08582,2.41863,5.0432,0.57955,3.31603,1.76658,0.00119507,0.00119507,0.00119507
10,197.233,1.47066,3.64021,0.59712,1.11737,1.10473,0.35763,0.28571,0.2752,0.12459,0.55603,0.21429,0.24589,0.0983,2.49677,4.24632,0.58636,3.44181,1.65428,0.00129844,0.00129844,0.00129844
11,216.559,1.46791,3.71772,0.59017,1.09745,1.1102,0.33483,0.42857,0.3069,0.12172,0.33483,0.42857,0.29464,0.13963,2.0306,3.59607,0.5811,2.6331,1.45463,0.00139548,0.00139548,0.00139548
12,235.829,1.49034,3.95691,0.59396,1.15443,1.12235,0.66157,0.41983,0.42897,0.16819,0.66157,0.41983,0.40695,0.19665,1.81131,3.27244,0.57296,2.32524,1.27274,0.00148618,0.00148618,0.00148618
13,255.313,1.3553,3.59354,0.57106,0.98557,1.06085,0.53673,0.42857,0.42491,0.18569,0.53673,0.42857,0.41459,0.17339,1.66314,3.43661,0.5643,2.55978,1.15777,0.0015248,0.0015248,0.0015248
14,273.503,1.28631,3.30017,0.56484,0.93555,1.04024,0.45408,0.5,0.45972,0.17724,0.45126,0.64629,0.54345,0.21774,1.93013,3.36761,0.54844,2.91588,1.2549,0.0014852,0.0014852,0.0014852
15,292.714,1.38913,3.32548,0.5453,0.97483,1.04944,0.48867,0.57143,0.47706,0.18781,0.42338,0.5,0.41902,0.16554,1.84324,3.13828,0.53676,2.44157,1.24272,0.0014456,0.0014456,0.0014456
16,311.304,1.41614,3.35144,0.55513,0.96749,1.07312,0.51898,0.78571,0.60629,0.29406,0.52803,0.64286,0.55874,0.2383,1.58215,2.9379,0.52538,2.28512,1.14296,0.001406,0.001406,0.001406
17,330.279,1.42856,3.49077,0.53218,0.97143,1.05459,0.68814,0.57143,0.62359,0.24614,0.59521,0.5,0.48348,0.22068,1.67715,2.97529,0.50673,2.32195,1.17181,0.0013664,0.0013664,0.0013664
18,349.652,1.368,3.22435,0.53675,0.8842,1.04571,0.73839,0.5,0.59787,0.29249,0.6032,0.42857,0.48206,0.19458,1.6155,2.88139,0.49055,2.32905,1.20334,0.0013268,0.0013268,0.0013268
19,368.619,1.28739,2.96133,0.53161,0.91368,1.04627,0.82289,0.42857,0.62138,0.33084,0.87035,0.4814,0.59098,0.24283,1.64127,2.77783,0.48283,1.99074,1.15586,0.0012872,0.0012872,0.0012872
20,387.772,1.20041,2.98687,0.52182,0.82928,1.01197,0.5335,0.78571,0.6852,0.35627,0.56311,0.78571,0.6967,0.29025,1.50216,2.43551,0.4838,1.51207,1.09054,0.0012476,0.0012476,0.0012476
21,406.605,1.21631,2.9568,0.497,0.81525,0.98815,0.67041,0.57143,0.62638,0.28732,0.67041,0.57143,0.59586,0.29132,1.55018,2.54224,0.47263,1.55103,1.10504,0.001208,0.001208,0.001208
