condition,test_session,sigma_cam,T_update,seed,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
same_drone,MT_s004,,,0,1,1,2472,24.886879920959473,1.6421575963069728,5.351666665943514,0.0
same_drone,MT_s004,,,0,2,2,2524,25.33614683151245,2.386083599991238,9.340892687226297,0.03922345483359747
same_drone,MT_s004,,,0,3,3,2665,26.740379095077515,1.5314805299963723,7.230612927194852,0.03189493433395872
same_drone,MT_s004,,,0,4,4,2618,26.25896406173706,1.1089139663760736,3.8146971714156037,0.0
same_drone,MT_s004,,,0,5,5,2530,25.401978969573975,1.4079951753069224,4.724988217436074,0.0
same_drone,MT_s004,,,0,6,6,2525,25.403844833374023,1.762951656118318,5.687982196902881,0.008712871287128714
same_drone,MT_s004,,,0,7,7,2722,27.329137802124023,2.241090175794966,11.405677336876309,0.09368111682586333
same_drone,MT_s004,,,0,8,8,2312,23.212925910949707,1.059864904782259,5.207722884565714,0.0
same_drone,MT_s004,,,0,9,9,2312,23.21662998199463,1.3329548152872661,6.4902617318975775,0.012543252595155709
same_drone,MT_s004,,,0,10,10,2346,23.52618908882141,1.8408661802011608,7.142031513830826,0.0392156862745098
same_drone,MT_s004,,,0,11,11,2666,26.786911964416504,2.805950697315126,94.05044213727591,0.2895723930982746
same_drone,MT_s004,,,0,12,12,2344,23.593735933303833,1.6112476240191569,6.189877937744317,0.008959044368600682
same_drone,MT_s004,,,0,13,13,2307,23.15007710456848,1.6825907539983405,5.657857191998136,0.0
same_drone,MT_s004,,,0,14,14,2625,26.3830509185791,2.035941242924821,7.399457188768063,0.017904761904761906
same_drone,MT_s004,,,0,15,15,2334,23.44292402267456,1.2295886247944594,5.670713923225293,0.020137103684661525
same_drone,MT_s004,,,1,1,1,2472,24.886879920959473,1.6421575963069728,5.351666665943514,0.0
same_drone,MT_s004,,,1,2,2,2524,25.33614683151245,2.386083599991238,9.340892687226297,0.03922345483359747
same_drone,MT_s004,,,1,3,3,2665,26.740379095077515,1.5314805299963723,7.230612927194852,0.03189493433395872
same_drone,MT_s004,,,1,4,4,2618,26.25896406173706,1.1089139663760736,3.8146971714156037,0.0
same_drone,MT_s004,,,1,5,5,2530,25.401978969573975,1.4079951753069224,4.724988217436074,0.0
same_drone,MT_s004,,,1,6,6,2525,25.403844833374023,1.762951656118318,5.687982196902881,0.008712871287128714
same_drone,MT_s004,,,1,7,7,2722,27.329137802124023,2.241090175794966,11.405677336876309,0.09368111682586333
same_drone,MT_s004,,,1,8,8,2312,23.212925910949707,1.059864904782259,5.207722884565714,0.0
same_drone,MT_s004,,,1,9,9,2312,23.21662998199463,1.3329548152872661,6.4902617318975775,0.012543252595155709
same_drone,MT_s004,,,1,10,10,2346,23.52618908882141,1.8408661802011608,7.142031513830826,0.0392156862745098
same_drone,MT_s004,,,1,11,11,2666,26.786911964416504,2.805950697315126,94.05044213727591,0.2895723930982746
same_drone,MT_s004,,,1,12,12,2344,23.593735933303833,1.6112476240191569,6.189877937744317,0.008959044368600682
same_drone,MT_s004,,,1,13,13,2307,23.15007710456848,1.6825907539983405,5.657857191998136,0.0
same_drone,MT_s004,,,1,14,14,2625,26.3830509185791,2.035941242924821,7.399457188768063,0.017904761904761906
same_drone,MT_s004,,,1,15,15,2334,23.44292402267456,1.2295886247944594,5.670713923225293,0.020137103684661525
