condition,test_session,sigma_cam,T_update,seed,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
same_drone,MT_s004,,,0,1,1,2472,24.886879920959473,1.6421575963069728,5.351666665943514,0.0
same_drone,MT_s004,,,0,2,2,2524,25.33614683151245,2.386083599991238,9.340892687226297,0.03922345483359747
same_drone,MT_s004,,,0,3,3,2665,26.740379095077515,1.5314805299963723,7.230612927194852,0.03189493433395872
same_drone,MT_s004,,,0,4,4,2618,26.25896406173706,1.1089139663760736,3.8146971714156037,0.0
same_drone,MT_s004,,,0,5,5,2530,25.401978969573975,1.4079951753069224,4.724988217436074,0.0
same_drone,MT_s004,,,0,6,6,2525,25.403844833374023,1.762951656118318,5.687982196902881,0.008712871287128714
same_drone,MT_s004,,,0,7,7,2722,27.329137802124023,2.241090175794966,11.405677336876309,0.09368111682586333
same_drone,MT_s004,,,0,8,8,2312,23.212925910949707,1.059864904782259,5.207722884565714,0.0
same_drone,MT_s004,,,0,9,9,2312,23.21662998199463,1.3329548152872661,6.4902617318975775,0.012543252595155709
same_drone,MT_s004,,,0,10,10,2346,23.52618908882141,1.8408661802011608,7.142031513830826,0.0392156862745098
same_drone,MT_s004,,,0,11,11,2666,26.786911964416504,2.805950697315126,94.05044213727591,0.2895723930982746
same_drone,MT_s004,,,0,12,12,2344,23.593735933303833,1.6112476240191569,6.189877937744317,0.008959044368600682
same_drone,MT_s004,,,0,13,13,2307,23.15007710456848,1.6825907539983405,5.657857191998136,0.0
same_drone,MT_s004,,,0,14,14,2625,26.3830509185791,2.035941242924821,7.399457188768063,0.017904761904761906
same_drone,MT_s004,,,0,15,15,2334,23.44292402267456,1.2295886247944594,5.670713923225293,0.020137103684661525
cross_drone,LO_s001,,,0,1,1,2516,25.26086401939392,2.1208282270231287,7.244745731429606,0.005564387917329093
cross_drone,LO_s001,,,0,2,2,2490,25.02094602584839,1.0025086769673948,4.446975917294716,0.002811244979919679
cross_drone,LO_s001,,,0,3,3,2577,25.9479341506958,1.5294627592271866,9.747697558115837,0.05820721769499418
cross_drone,LO_s001,,,0,4,4,2353,23.624861001968384,1.4729223006300458,4.800947326295804,0.0
cross_drone,LO_s001,,,0,5,5,2443,24.526942014694214,1.0932743094783177,5.673035886004108,0.0
cross_drone,LO_s001,,,0,6,6,2345,23.54997706413269,1.9318303914044463,7.036227962340216,0.009381663113006396
same_drone,MT_s004,5.0,1.0,0,1,1,2472,24.886879920959473,1.6469468957099451,5.622937594014162,0.0
same_drone,MT_s004,5.0,1.0,0,2,2,2524,25.33614683151245,1.8192937383489518,5.504950382077483,0.0035657686212361333
same_drone,MT_s004,5.0,1.0,0,3,3,2665,26.740379095077515,1.6958401086258874,4.5561564948619955,0.0
same_drone,MT_s004,5.0,1.0,0,4,4,2618,26.25896406173706,1.29092979435395,4.756772103839217,0.0
same_drone,MT_s004,5.0,1.0,0,5,5,2530,25.401978969573975,1.3570667687278046,4.614843052897039,0.0
same_drone,MT_s004,5.0,1.0,0,6,6,2525,25.403844833374023,1.6274335707905294,6.342417772614845,0.0031683168316831685
same_drone,MT_s004,5.0,1.0,0,7,7,2722,27.329137802124023,1.8409258685551855,17.38046445809705,0.10506980161645849
same_drone,MT_s004,5.0,1.0,0,8,8,2312,23.212925910949707,1.2011824135776479,4.628426428035792,0.0
same_drone,MT_s004,5.0,1.0,0,9,9,2312,23.21662998199463,1.2768794866592543,4.274229093337037,0.00043252595155709344
same_drone,MT_s004,5.0,1.0,0,10,10,2346,23.52618908882141,1.469977630835288,5.281120337410986,0.013640238704177323
same_drone,MT_s004,5.0,1.0,0,11,11,2666,26.786911964416504,1.9194181258836096,8.969532055365178,0.052138034508627154
same_drone,MT_s004,5.0,1.0,0,12,12,2344,23.593735933303833,1.6563312697736912,5.46504910387061,0.013225255972696246
same_drone,MT_s004,5.0,1.0,0,13,13,2307,23.15007710456848,1.5032861579066719,5.036181972378129,0.00043346337234503684
same_drone,MT_s004,5.0,1.0,0,14,14,2625,26.3830509185791,1.6766065399040997,7.2246750148022425,0.03238095238095238
same_drone,MT_s004,5.0,1.0,0,15,15,2334,23.44292402267456,1.1662668972378398,5.399512612681897,0.011996572407883462
cross_drone,LO_s001,5.0,1.0,0,1,1,2516,25.26086401939392,1.7151657618927687,5.828194501110794,0.01232114467408585
cross_drone,LO_s001,5.0,1.0,0,2,2,2490,25.02094602584839,1.1908549516273297,4.194111804400957,0.0
cross_drone,LO_s001,5.0,1.0,0,3,3,2577,25.9479341506958,1.2811696948409121,5.479182270382121,0.046177726038028714
cross_drone,LO_s001,5.0,1.0,0,4,4,2353,23.624861001968384,1.4078667679748662,3.907225695096942,0.0
cross_drone,LO_s001,5.0,1.0,0,5,5,2443,24.526942014694214,1.1071578463178184,4.462324516647414,0.0
cross_drone,LO_s001,5.0,1.0,0,6,6,2345,23.54997706413269,1.5899857567822266,5.082852078515,0.0
