condition,sigma_cam,T_update,n_records,mean_p90,median_p90,std_p90,mean_median_err,mean_jump,baseline_p90,improvement_pct
cross_drone,1.0,0.2,30,1.9279520450548344,1.8898530978263803,0.2404351558915192,0.6499368062939912,0.002703401888500841,6.491605063580049,70.3008419925104
cross_drone,1.0,0.5,30,2.9437898953445774,2.6913304680695562,0.6477385793247704,0.8896407051022156,0.007258207049303126,6.491605063580049,54.652356905379726
cross_drone,1.0,1.0,30,4.1282133804997905,3.9985173034947565,0.8039051580912362,1.1529737992771416,0.008396638082906801,6.491605063580049,36.40689259332227
cross_drone,1.0,2.0,30,4.773273845561803,4.680065140689025,0.8407251138217815,1.239289600358408,0.007672270108096523,6.491605063580049,26.470051723550235
cross_drone,1.0,5.0,30,5.491819058980579,5.073932465831339,2.1092198730463805,1.3929474859898037,0.014402986346697655,6.491605063580049,15.401214257604556
cross_drone,3.0,0.2,30,3.4430109162134053,3.3383754671832175,0.7441050972378715,1.0774324008090874,0.005731118024824798,6.491605063580049,46.96210132175504
cross_drone,3.0,0.5,30,4.314002201180709,4.134174680262785,0.9072154657518569,1.2737015606270812,0.008972422813243654,6.491605063580049,33.54490670753183
cross_drone,3.0,1.0,30,4.8430092915680785,4.744877326049554,0.9155155530195069,1.3217507880206938,0.00910381208971268,6.491605063580049,25.39581129574737
cross_drone,3.0,2.0,30,5.422082497398761,4.537561749591143,2.4700473616903085,1.3667292914045575,0.012714863533851654,6.491605063580049,16.475471870302872
cross_drone,3.0,5.0,30,6.00987816077505,5.630076443362859,2.122774190762373,1.4990037051170337,0.017100682400435805,6.491605063580049,7.4207672538127545
cross_drone,5.0,0.2,30,4.306259895235578,4.25497744283304,0.9839928819146521,1.2443626018054774,0.007787541722849988,6.491605063580049,33.66417314270929
cross_drone,5.0,0.5,30,4.834753322031616,4.762484177320635,0.9234576003153118,1.379198627550346,0.009185397265989988,6.491605063580049,25.522990467240437
cross_drone,5.0,1.0,30,5.483777327306222,5.007733051281527,1.5367033832693338,1.4103920410852213,0.01522744774358226,6.491605063580049,15.52509319964731
cross_drone,5.0,2.0,30,6.140158230820038,5.379334156977713,2.808137962301679,1.4050345751221995,0.015976060048398487,6.491605063580049,5.413866514026521
cross_drone,5.0,5.0,30,6.593362824034557,5.495706607878873,4.751300432739564,1.5103980201745988,0.01731034313808764,6.491605063580049,-1.5675285150263063
cross_drone,10.0,0.2,30,5.089909428253778,4.895350556873095,1.509749215997313,1.4053182039428143,0.009047695891810037,6.491605063580049,21.59243548548918
cross_drone,10.0,0.5,30,6.39729120770167,5.395220670564189,3.8417568020796735,1.482138570061767,0.015944475695215843,6.491605063580049,1.4528588069460557
cross_drone,10.0,1.0,30,6.991213630370786,5.930259921209538,4.919971634205724,1.4958966172264099,0.018708459591939088,6.491605063580049,-7.696225538945667
cross_drone,10.0,2.0,30,9.766890719635104,5.434747959200363,11.6165190281732,1.4951304708429967,0.024094271908685426,6.491605063580049,-50.45417310474478
cross_drone,10.0,5.0,30,10.55054728209395,5.686783058182103,13.55914741846449,1.5445381385733308,0.032311825673966545,6.491605063580049,-62.5260190470589
cross_drone,20.0,0.2,30,6.4219159973362485,5.544179051666644,3.2597727770382923,1.4997520426317308,0.017752003593541087,6.491605063580049,1.073525970253142
cross_drone,20.0,0.5,30,8.305922369141916,5.70863126638152,7.384112667537996,1.5445443243835095,0.02245140612534992,6.491605063580049,-27.948670441163447
cross_drone,20.0,1.0,30,10.083419830213533,5.813430248996314,11.497003811644786,1.565703709255441,0.026966519182961907,6.491605063580049,-55.33014919198793
cross_drone,20.0,2.0,30,8.581614241284477,5.5008116608330075,7.32709101644997,1.5253759343891982,0.02314866490079414,6.491605063580049,-32.195568849837144
cross_drone,20.0,5.0,30,8.942293429257301,5.629890592433001,10.234805707471592,1.5648488514580416,0.023809439777582368,6.491605063580049,-37.751655279006215
same_drone,1.0,0.2,75,2.5211897313128504,2.0514567273202715,1.2981426269178284,0.7198160127838458,0.004403569718790753,12.357658780820094,79.5981603309366
same_drone,1.0,0.5,75,3.333119893791785,3.0026345544423436,1.1671051448596415,0.966211429860499,0.006421097549943979,12.357658780820094,73.02790153936756
same_drone,1.0,1.0,75,4.57702742765602,4.079697209167314,1.5289408003752094,1.2226231281404443,0.011823904645264904,12.357658780820094,62.962018058308345
same_drone,1.0,2.0,75,7.276614125559192,5.221340682192877,8.696883619823272,1.4474770194819626,0.02465245265939325,12.357658780820094,41.11656378752762
same_drone,1.0,5.0,75,10.36684310330738,5.726160999994662,15.351564257487556,1.603100405648075,0.037043301749652785,12.357658780820094,16.109974492924117
same_drone,3.0,0.2,75,3.756577218531016,3.3866477343830854,1.0355817648466172,1.1623280686284947,0.003787738785668914,12.357658780820094,69.60122232569267
same_drone,3.0,0.5,75,4.545537072703345,4.154348327385627,1.216179117503363,1.3520513827852492,0.006911424710867871,12.357658780820094,63.216842661505424
same_drone,3.0,1.0,75,5.664504635264891,4.91979201835465,2.4175131682779374,1.4159474359968425,0.015826347795341356,12.357658780820094,54.16199188104645
same_drone,3.0,2.0,75,6.656201091784099,5.430824660131222,4.014391968795305,1.578043230664407,0.023651757788587354,12.357658780820094,46.13703768779436
same_drone,3.0,5.0,75,11.680431452392535,5.5894340586058355,18.210570958145798,1.6551970890382106,0.03337658549207467,12.357658780820094,5.480223563695263
same_drone,5.0,0.2,75,4.485253334269127,4.208100849407474,1.1020031120920448,1.337880146870729,0.005909760499874464,12.357658780820094,63.704667576430104
same_drone,5.0,0.5,75,5.135434257587649,4.668790421511832,1.3221576399292454,1.442550426837242,0.00936358185283542,12.357658780820094,58.44330751745481
same_drone,5.0,1.0,75,6.048341665455319,5.180874670792579,2.9666112367132076,1.4989395343957608,0.014796511145363012,12.357658780820094,51.05592594251958
