flight_id,drone,rate,mode,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
1,MadTrainer,Gromozeka_rate,LF+Rate,2,2480,24.78,1.352,10.953,0.0742
1,MadTrainer,Gromozeka_rate,LF+Rate,3,2536,25.37,2.134,16.734,0.123
1,MadTrainer,Gromozeka_rate,LF+Rate,4,2455,24.54,0.907,12.56,0.0525
1,MadTrainer,Gromozeka_rate,RC+Rate,2,2466,24.77,1.437,11.246,0.077
1,MadTrainer,Gromozeka_rate,RC+Rate,3,2524,25.35,1.99,16.128,0.1212
1,MadTrainer,Gromozeka_rate,RC+Rate,4,2443,24.53,0.958,10.621,0.0262
2,MadTrainer,RedSheep_rate,LF+Rate,3,2523,25.22,3.867,48.574,0.1958
2,MadTrainer,RedSheep_rate,LF+Rate,4,2609,26.08,1.822,12.83,0.0686
2,MadTrainer,RedSheep_rate,LF+Rate,5,2488,24.87,2.261,11.804,0.0595
2,MadTrainer,RedSheep_rate,RC+Rate,3,2509,25.22,2.839,21.086,0.1606
2,MadTrainer,RedSheep_rate,RC+Rate,4,2597,26.06,1.927,10.58,0.0408
2,MadTrainer,RedSheep_rate,RC+Rate,5,2477,24.86,2.239,13.436,0.086
3,LiftOff_200,Gromozeka_rate,LF+Rate,4,2364,23.64,2.096,38.732,0.1798
3,LiftOff_200,Gromozeka_rate,LF+Rate,5,2455,24.54,1.74,43.145,0.1943
3,LiftOff_200,Gromozeka_rate,LF+Rate,6,2357,23.56,1.808,33.132,0.1697
3,LiftOff_200,Gromozeka_rate,RC+Rate,4,2353,23.62,1.816,36.512,0.1738
3,LiftOff_200,Gromozeka_rate,RC+Rate,5,2443,24.53,1.693,33.325,0.1682
3,LiftOff_200,Gromozeka_rate,RC+Rate,6,2345,23.55,2.039,35.864,0.1983
4,LiftOff_200,RedSheep_rate,LF+Rate,3,2527,25.26,2.814,42.133,0.2022
4,LiftOff_200,RedSheep_rate,LF+Rate,4,2321,23.22,1.377,14.604,0.0991
4,LiftOff_200,RedSheep_rate,LF+Rate,5,2264,22.62,1.461,12.988,0.0724
4,LiftOff_200,RedSheep_rate,RC+Rate,3,2514,25.25,2.02,31.182,0.1679
4,LiftOff_200,RedSheep_rate,RC+Rate,4,2314,23.21,1.311,16.593,0.1037
4,LiftOff_200,RedSheep_rate,RC+Rate,5,2252,22.62,1.51,8.817,0.0293
