flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.0,2,2480,24.78,1.83,17.525,0.121
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.0,3,2536,25.37,2.353,49.575,0.2386
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.0,4,2455,24.54,0.509,2.864,0.0
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.5,2,2480,24.78,1.936,9.605,0.0492
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.5,3,2536,25.37,2.241,17.234,0.1313
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.5,4,2455,24.54,0.697,5.998,0.0077
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.0,2,2480,24.78,2.537,101.969,0.2399
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.0,3,2536,25.37,3.146,62.251,0.2591
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.0,4,2455,24.54,0.647,3.651,0.0077
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.5,2,2480,24.78,2.436,31.62,0.1871
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.5,3,2536,25.37,2.13,21.955,0.1353
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.5,4,2455,24.54,1.006,9.136,0.013
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.0,2,2480,24.78,3.376,45.317,0.2129
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.0,3,2536,25.37,8.506,80.849,0.4326
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.0,4,2455,24.54,0.56,2.506,0.0016
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.5,2,2480,24.78,3.275,47.599,0.1879
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.5,3,2536,25.37,3.104,35.655,0.2106
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.5,4,2455,24.54,0.754,3.682,0.0033
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.0,2,2480,24.78,2.488,39.897,0.2077
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.0,3,2536,25.37,3.145,91.845,0.2859
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.0,4,2455,24.54,0.622,3.448,0.0081
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.5,2,2480,24.78,2.291,42.211,0.2133
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.5,3,2536,25.37,2.986,36.961,0.2311
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.5,4,2455,24.54,0.838,5.636,0.0024
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.0,2,2480,24.78,2.647,91.189,0.2419
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.0,3,2536,25.37,2.858,63.677,0.2859
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.0,4,2455,24.54,0.705,3.414,0.0037
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.5,2,2480,24.78,2.159,27.646,0.1681
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.5,3,2536,25.37,2.852,32.161,0.1976
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.5,4,2455,24.54,0.841,4.413,0.0049
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.0,2,2480,24.78,2.9,23.824,0.146
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.0,3,2536,25.37,4.949,90.118,0.3636
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.0,4,2455,24.54,0.488,2.518,0.0061
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.5,2,2480,24.78,2.441,9.772,0.0488
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.5,3,2536,25.37,2.555,29.64,0.1901
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.5,4,2455,24.54,0.734,5.962,0.0041
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.0,2,2480,24.78,3.058,99.695,0.2185
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.0,3,2536,25.37,2.638,73.121,0.2922
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.0,4,2455,24.54,0.503,2.591,0.0
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.5,2,2480,24.78,1.566,7.632,0.0565
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.5,3,2536,25.37,1.923,15.495,0.1104
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.5,4,2455,24.54,0.641,3.485,0.0
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.0,2,2480,24.78,2.528,116.389,0.2419
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.0,3,2536,25.37,2.571,30.986,0.1719
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.0,4,2455,24.54,0.586,3.219,0.0
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.5,2,2480,24.78,1.521,15.079,0.1004
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.5,3,2536,25.37,2.02,21.629,0.1238
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.5,4,2455,24.54,0.82,5.406,0.0012
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,angular_scaled,1.0,2,2480,24.78,2.466,41.792,0.2161
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,angular_scaled,1.0,3,2536,25.37,2.651,32.253,0.2023
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,angular_scaled,1.0,4,2455,24.54,0.795,5.237,0.0118
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,angular_scaled,1.5,2,2480,24.78,1.762,14.09,0.098
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,angular_scaled,1.5,3,2536,25.37,2.241,24.607,0.1447
