flight_id,drone,rate,drone_cond,mode,preset,obs_sigma,n_laps,median_err_m,p90_err_m,jump_rate
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,P+R_only,1.0,3,6.598,43.281,0.26
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,P+R_only,1.5,3,2.816,20.085,0.129
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.0,3,2.07,52.76,0.177
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,R+Y_only,1.5,3,1.951,21.407,0.124
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.0,3,2.779,38.82,0.172
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+P+R,1.5,3,1.91,15.125,0.081
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.0,3,4.147,42.891,0.216
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R,1.5,3,2.378,28.979,0.134
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.0,3,2.066,58.469,0.17
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Thr+R+Y,1.5,3,1.377,8.871,0.056
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.0,3,2.085,45.063,0.167
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,Y+P+2R,1.5,3,2.038,28.269,0.149
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,angular_scaled,1.0,3,1.971,26.427,0.143
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,angular_scaled,1.5,3,1.708,16.488,0.086
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.0,3,1.564,23.321,0.12
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,baseline,1.5,3,1.625,10.946,0.063
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.0,3,2.11,55.957,0.169
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,no_thr,1.5,3,1.857,20.904,0.112
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.0,3,1.895,50.198,0.138
1,MadTrainer,Gromozeka_rate,same_drone,LF+Rate,soft_thr,1.5,3,1.454,14.038,0.075
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.0,3,2.997,52.257,0.186
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,P+R_only,1.5,3,2.53,21.36,0.146
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.0,3,2.282,55.802,0.177
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,R+Y_only,1.5,3,1.627,15.99,0.086
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.0,3,1.749,32.327,0.105
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+P+R,1.5,3,1.759,19.987,0.089
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.0,3,7.842,72.76,0.286
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R,1.5,3,2.032,40.717,0.114
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.0,3,2.42,47.643,0.188
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Thr+R+Y,1.5,3,1.365,12.141,0.076
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.0,3,2.097,30.754,0.173
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,Y+P+2R,1.5,3,1.82,19.841,0.123
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.0,3,1.805,21.564,0.118
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,angular_scaled,1.5,3,1.544,14.99,0.093
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.0,3,1.492,22.655,0.107
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,baseline,1.5,3,1.438,10.242,0.06
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.0,3,2.155,20.417,0.136
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,no_thr,1.5,3,1.823,21.299,0.112
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.0,3,1.659,23.468,0.11
1,MadTrainer,Gromozeka_rate,same_drone,RC+Rate,soft_thr,1.5,3,1.572,18.108,0.101
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.0,3,12.996,106.582,0.445
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,P+R_only,1.5,3,5.796,76.251,0.306
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.0,3,2.937,62.481,0.222
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,R+Y_only,1.5,3,1.942,12.074,0.071
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.0,3,12.643,101.25,0.472
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+P+R,1.5,3,7.038,69.142,0.333
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.0,3,63.232,137.076,0.772
2,MadTrainer,RedSheep_rate,same_drone,LF+Rate,Thr+R,1.5,3,44.312,116.036,0.683
