ref_name,ref_drone,ref_rate,flight_id,test_drone,test_rate,drone_cond,rate_cond,condition,preset,p90_err_m,median_err_m,jump_rate,n_laps
GromFF_1,MadTrainer,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,angular_scaled,9.533367056997571,1.6195812216169483,0.04348200503069961,3
GromFF_1,MadTrainer,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,baseline,5.823869461703647,1.4512177504473567,0.0022451135763338617,3
GromFF_1,MadTrainer,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,no_thr,8.091921180401105,1.7160464435559806,0.019399490760555922,3
GromFF_1,MadTrainer,Gromozeka_rate,2,MadTrainer,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,angular_scaled,8.899736560252833,2.4268361469961,0.03541533069572469,3
GromFF_1,MadTrainer,Gromozeka_rate,2,MadTrainer,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,baseline,8.000253142983096,2.199910388399035,0.037239562133127714,3
GromFF_1,MadTrainer,Gromozeka_rate,2,MadTrainer,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,no_thr,9.477078191520532,2.3787912853049846,0.04509417277461614,3
GromFF_1,MadTrainer,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,angular_scaled,8.150465400708438,1.9107994496486438,0.015395818542931844,3
GromFF_1,MadTrainer,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,baseline,11.817168269033763,1.7534542034564258,0.0727356672358507,3
GromFF_1,MadTrainer,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,8.123953943737629,2.0665137530533664,0.0165917498944775,3
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,8.759605663049534,2.2107390431244434,0.02923375099413604,3
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,13.606443199461784,2.1342567812918567,0.08737904824682462,3
GromFF_1,MadTrainer,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,7.5274878077967555,2.005868308625516,0.008129622781451637,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,angular_scaled,19.5915604204037,2.4230730044171978,0.1489741390991898,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,baseline,63.677492586031256,3.3116249054305533,0.22072563079034804,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,1,MadTrainer,Gromozeka_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,21.111218510253288,2.6979450197295485,0.14159867553239772,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,17.17533815114988,2.595851847732154,0.1293155330834809,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,50.51870579381377,3.824194083873279,0.25259562430750665,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,2,MadTrainer,RedSheep_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,55.874754617399354,3.3117451260853272,0.20471267277375563,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,angular_scaled,15.966096187012619,2.20273956846467,0.12101049496905153,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,baseline,13.480260434563702,2.1183674497111062,0.08904283246784989,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,3,LiftOff_200,Gromozeka_rate,same_drone,same_rate,same_drone_same_rate,no_thr,19.223896659581598,2.1595884957196554,0.1556302034077478,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,angular_scaled,11.080625894384118,1.978901746834346,0.08923030950430501,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,baseline,13.230172471911912,2.0048745393822966,0.09467125629491628,3
LiftOff200_Grom_1,LiftOff_200,Gromozeka_rate,4,LiftOff_200,RedSheep_rate,same_drone,cross_rate,same_drone_cross_rate,no_thr,22.57045148664177,2.3419868669200574,0.142260973262725,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,1,MadTrainer,Gromozeka_rate,cross_drone,cross_rate,cross_drone_cross_rate,angular_scaled,9.713947706011895,1.9996885615375983,0.03364716192406332,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,1,MadTrainer,Gromozeka_rate,cross_drone,cross_rate,cross_drone_cross_rate,baseline,103.4887022834031,6.368530943143393,0.3044374679083002,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,1,MadTrainer,Gromozeka_rate,cross_drone,cross_rate,cross_drone_cross_rate,no_thr,31.669310531882388,2.2496624641441465,0.09379151883948784,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,2,MadTrainer,RedSheep_rate,cross_drone,same_rate,cross_drone_same_rate,angular_scaled,8.766648311649023,1.79848902383218,0.024052731672265345,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,2,MadTrainer,RedSheep_rate,cross_drone,same_rate,cross_drone_same_rate,baseline,17.619479923096524,3.4495492216009893,0.10311917005751446,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,2,MadTrainer,RedSheep_rate,cross_drone,same_rate,cross_drone_same_rate,no_thr,11.5539520068984,1.8102711854390574,0.04837683429950617,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,3,LiftOff_200,Gromozeka_rate,same_drone,cross_rate,same_drone_cross_rate,angular_scaled,10.347052396715293,1.8009640319654732,0.04016955560006504,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,3,LiftOff_200,Gromozeka_rate,same_drone,cross_rate,same_drone_cross_rate,baseline,10.114825067905679,1.6721972145774469,0.054623781072872975,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,3,LiftOff_200,Gromozeka_rate,same_drone,cross_rate,same_drone_cross_rate,no_thr,33.986327469536214,2.8792430232595456,0.12368017356507129,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,4,LiftOff_200,RedSheep_rate,same_drone,same_rate,same_drone_same_rate,angular_scaled,8.213389425219258,1.8856220247359115,0.010387514309122069,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,4,LiftOff_200,RedSheep_rate,same_drone,same_rate,same_drone_same_rate,baseline,7.6893933165905155,1.4861688219187268,0.03159886568850812,3
LiftOff200_Red_1,LiftOff_200,RedSheep_rate,4,LiftOff_200,RedSheep_rate,same_drone,same_rate,same_drone_same_rate,no_thr,9.850154668111136,2.1725309266563237,0.047682658639304494,3
