ref_name,ref_pilot,ref_rate,flight_id,test_pilot,test_rate,pilot_cond,preset,lap_index,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,baseline,13,2307,23.15007710456848,1.4086992525039363,5.168262737860022,0.0
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,baseline,14,2625,26.3830509185791,2.2932495473125982,12.976644704130608,0.08419047619047619
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,baseline,15,2334,23.44292402267456,1.670970668083143,6.952712516888712,0.0
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,angular_scaled,13,2307,23.15007710456848,1.5838531543615488,6.826084497788273,0.0
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,angular_scaled,14,2625,26.3830509185791,2.9473884029573867,28.01686811886291,0.16876190476190475
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,angular_scaled,15,2334,23.44292402267456,2.0963016770600618,9.734507881654114,0.029991431019708654
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,no_thr,13,2307,23.15007710456848,1.6623083682963227,5.4506580366271535,0.0
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,no_thr,14,2625,26.3830509185791,3.1266806811771772,33.00472403361728,0.2140952380952381
GromFF_1,Gromozeka,Gromozeka_rate,Grom-S4,Gromozeka,Gromozeka_rate,same_pilot,no_thr,15,2334,23.44292402267456,2.161285474225096,9.655531613812862,0.018851756640959727
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,baseline,6,1803,18.10832190513611,50.62901776390564,138.28732584038323,0.5640599001663894
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,baseline,7,1726,17.334311962127686,15.340879532818867,101.34087707587432,0.5052143684820394
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,baseline,8,1719,17.250370025634766,43.067496900017375,119.5941870993311,0.670738801628854
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,angular_scaled,6,1803,18.10832190513611,4.808424142883169,128.54073797610593,0.310038824181919
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,angular_scaled,7,1726,17.334311962127686,3.8752824437672437,116.32615994247921,0.313441483198146
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,angular_scaled,8,1719,17.250370025634766,4.483167354691346,67.5325700452913,0.2961023851076207
GromFF_1,Gromozeka,Gromozeka_rate,Red-S2,RedSeep,RedSheep_rate,cross_pilot,no_thr,6,1803,18.10832190513611,5.1862032903515995,119.48590957403374,0.3971159179145868
