ref_source,ref_drone,flight_id,test_drone,drone_cond,lap_selection,n_laps,smooth_w,test_lap,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,1,3,2509,25.217001914978027,2.43633575019949,8.930583934296793,0.022319649262654444
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,1,4,2597,26.059934854507446,1.8530158553149363,6.593112828648038,0.02117828263380824
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,1,5,2477,24.85981011390686,2.8790494212818487,10.99764943966527,0.07912797739200646
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,3,3,2509,25.217001914978027,2.5430346552629857,9.240330569051324,0.03587086488640893
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,3,4,2597,26.059934854507446,1.98281181525482,6.417027248175339,0.016557566422795534
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,3,5,2477,24.85981011390686,2.907288370994621,13.531070629896758,0.09245054501413
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,5,3,2509,25.217001914978027,2.4821187965696367,9.032680791869465,0.02869669190912714
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,5,4,2597,26.059934854507446,1.9546308364466825,6.823515835444549,0.016557566422795534
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,5,5,2477,24.85981011390686,2.6996242228986347,12.575037947247578,0.09002825999192572
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,9,3,2509,25.217001914978027,2.6220544174497036,8.513020911862986,0.010362694300518135
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,9,4,2597,26.059934854507446,2.080695701023984,6.075750460315465,0.016557566422795534
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,9,5,2477,24.85981011390686,2.9937339521831206,15.136765249970574,0.1005248284214776
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,15,3,2509,25.217001914978027,2.873843920604166,8.672583579240191,0.01634117178158629
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,15,4,2597,26.059934854507446,2.2547825343691414,6.887264840064819,0.016942626107046593
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,1,15,5,2477,24.85981011390686,3.1333376207809494,12.420590295444951,0.08235769075494549
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,3,1,3,2509,25.217001914978027,1.5544303710083323,8.596420684299451,0.02630530091669988
MT_ref,MadTrainer,2,MadTrainer,same_drone,fastest,3,1,4,2597,26.059934854507446,1.330680368065316,3.8783397663678816,0.010011551790527531
