track,test_session,test_drone,condition,test_lap_relative,lap_index_abs,n_frames,duration_s,median_err_m,p90_err_m,jump_rate
track-002,MT_s001,MadTrainer,same_drone,1,1,2604,26.188649892807007,2.2752800221822653,14.785681040951488,0.09907834101382489
track-002,MT_s001,MadTrainer,same_drone,2,2,2466,24.773011922836304,1.37319380310592,5.276993500555827,0.0056772100567721
track-002,MT_s001,MadTrainer,same_drone,3,3,2524,25.354163885116577,1.9250471190829472,7.741104846844038,0.02694136291600634
track-002,MT_s001,MadTrainer,same_drone,4,4,2443,24.53096318244934,1.618771434780598,7.784414919133474,0.04175194433074089
track-002,MT_s003,MadTrainer,same_drone,1,1,2992,30.046236038208008,3.733871755935901,40.259063935711005,0.15842245989304812
track-002,MT_s003,MadTrainer,same_drone,2,2,2771,27.847700834274292,3.2086733431422623,55.56750266415099,0.23204619271021293
track-002,MT_s003,MadTrainer,same_drone,3,3,2835,28.523182153701782,3.060615552645288,98.40323272606665,0.2747795414462081
track-002,MT_s003,MadTrainer,same_drone,4,4,2777,27.967777967453003,1.812297114619895,9.941814582478703,0.020885848037450486
track-002,MT_s003,MadTrainer,same_drone,5,5,2888,28.98906898498535,2.6812081761806006,24.571622167053913,0.12950138504155126
track-002,MT_s003,MadTrainer,same_drone,6,6,2718,27.289001941680908,2.470911388259111,11.326822675428417,0.06033848417954378
track-002,MT_s003,MadTrainer,same_drone,7,7,2760,27.710083961486816,2.1118332703167155,48.6511949818556,0.21231884057971015
track-002,MT_s003,MadTrainer,same_drone,8,8,2585,25.9531888961792,1.6112960151603914,5.567548654799127,0.0
track-002,MT_s003,MadTrainer,same_drone,9,9,2567,25.754998922348022,1.262756818734914,7.89771879742474,0.013245033112582781
track-002,MT_s003,MadTrainer,same_drone,10,10,2549,25.623039960861206,1.6721741534528434,10.927161841699352,0.032561788936837976
track-002,MT_s003,MadTrainer,same_drone,11,11,2703,27.15173602104187,3.2665806851144765,86.33193161027764,0.1864594894561598
track-002,MT_s003,MadTrainer,same_drone,12,12,2401,24.16984510421753,2.0700175652104065,16.926524925073863,0.10620574760516452
track-002,MT_s003,MadTrainer,same_drone,13,13,2633,26.441177129745483,2.2652453519104796,10.028841631310598,0.03873908089631599
track-002,MT_s004,MadTrainer,same_drone,1,1,2472,24.886879920959473,1.6429783016538693,5.788220548503242,0.0
track-002,MT_s004,MadTrainer,same_drone,2,2,2524,25.33614683151245,2.7447798445639293,24.168538644517103,0.13549920760697307
track-002,MT_s004,MadTrainer,same_drone,3,3,2665,26.740379095077515,2.191986672331538,21.037124027131426,0.149718574108818
track-002,MT_s004,MadTrainer,same_drone,4,4,2618,26.25896406173706,1.4442125266820316,5.24802296453727,0.0038197097020626434
track-002,MT_s004,MadTrainer,same_drone,5,5,2530,25.401978969573975,1.8716279421052064,6.385759853676891,0.0071146245059288534
track-002,MT_s004,MadTrainer,same_drone,6,6,2525,25.403844833374023,1.9008430498026563,8.654668985155835,0.0297029702970297
track-002,MT_s004,MadTrainer,same_drone,7,7,2722,27.329137802124023,1.885719455349797,9.937973716922809,0.08706833210874357
track-002,MT_s004,MadTrainer,same_drone,8,8,2312,23.212925910949707,1.348793246346979,9.162798142922734,0.022058823529411766
track-002,MT_s004,MadTrainer,same_drone,9,9,2312,23.21662998199463,1.4007440827174413,13.938700606850878,0.08823529411764706
track-002,MT_s004,MadTrainer,same_drone,10,10,2346,23.52618908882141,2.1448650432828344,7.94936055936914,0.04219948849104859
track-002,MT_s004,MadTrainer,same_drone,11,11,2666,26.786911964416504,2.4729450361706,82.0466611233524,0.15941485371342837
track-002,MT_s004,MadTrainer,same_drone,12,12,2344,23.593735933303833,1.5991680213792847,5.246084599967205,0.0
track-002,MT_s004,MadTrainer,same_drone,13,13,2307,23.15007710456848,1.3116095561595102,6.048349512320676,0.014304291287386216
track-002,MT_s004,MadTrainer,same_drone,14,14,2625,26.3830509185791,2.1683440396139133,12.328160538465537,0.08304761904761905
track-002,MT_s004,MadTrainer,same_drone,15,15,2334,23.44292402267456,1.4769034871083946,7.3938650179140275,0.03513281919451585
track-002,LO_s001,LiftOff_200,cross_drone,1,1,2516,25.26086401939392,1.7972656326579681,5.825605009606159,0.02424483306836248
