ref_name,ref_variant,ref_pilot,flight_id,preset,sigma,seq,gate_id,s_gate_m,s_est_m,gate_err_m
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,11,2,25.127554492799387,35.218797332460056,10.09124283966067
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,12,3,21.16619674222841,35.995360994572536,14.829164252344125
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,13,4,38.31120354003133,42.386208211085865,4.075004671054536
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,14,5,53.74570328227816,48.4273498357665,5.318353446511658
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,15,6,65.73289379286808,61.589855980887705,4.143037811980378
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,16,7,67.95489262816392,64.03490454948194,3.919988078681982
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,17,8,68.15563189149117,67.77698739944884,0.3786444920423264
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,18,9,69.98641394961211,76.14346760308172,6.157053653469603
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,19,10,79.22801713368243,79.47551168981178,0.24749455612935378
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,20,11,88.27909242361487,83.18697622046552,5.092116203149345
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,21,0,1.065615023947291,88.4060420817923,5.310282094376646
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,24,1,7.116208876147144,7.438065277246492,0.32185640109934877
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,25,2,25.127554492799387,31.28464581599801,6.157091323198625
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,26,3,21.16619674222841,37.00229509217098,15.83609834994257
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,27,4,38.31120354003133,43.55338948232589,5.242185942294562
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,28,5,53.74570328227816,48.46634024010842,5.279363042169734
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,29,6,65.73289379286808,61.99501283540864,3.7378809574594456
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,30,7,67.95489262816392,65.52380876906736,2.43108385909656
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,31,8,68.15563189149117,67.86429427067037,0.29133762082079784
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,32,9,69.98641394961211,71.00976847478418,1.023354525172067
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,33,10,79.22801713368243,75.81769010284239,3.410327030840037
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,34,11,88.27909242361487,83.62715628827031,4.651936135344556
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,35,0,1.065615023947291,90.9401285268114,2.7761956493575326
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,38,1,7.116208876147144,7.072278806598579,0.04393006954856471
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,39,2,25.127554492799387,30.88523425070137,5.7576797579019825
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,40,3,21.16619674222841,36.88175539790244,15.715558655674027
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,41,4,38.31120354003133,43.064251898673774,4.753048358642445
RedRC_2,real,RedSeep,RedSeep-S007,baseline,2.0,42,5,53.74570328227816,49.17803958942748,4.5676636928506795
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,11,2,25.127554492799387,36.438999135759474,11.311444642960087
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,12,3,21.16619674222841,38.31968968961504,17.153492947386628
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,13,4,38.31120354003133,40.06338815350333,1.7521846134720036
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,14,5,53.74570328227816,45.373973721723424,8.371729560554733
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,15,6,65.73289379286808,60.07257800912377,5.660315783744316
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,16,7,67.95489262816392,68.15693757557176,0.20204494740784185
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,17,8,68.15563189149117,67.47779940666986,0.6778324848213089
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,18,9,69.98641394961211,72.94858135323294,2.9621674036208248
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,19,10,79.22801713368243,87.60187230459375,8.373855170911327
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,20,11,88.27909242361487,85.28468471431854,2.9944077092963255
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,21,0,1.065615023947291,87.95897420787418,5.757349968294761
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,24,1,7.116208876147144,1.2048991271152292,5.911309749031915
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,25,2,25.127554492799387,33.423375938025764,8.295821445226377
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,26,3,21.16619674222841,38.1203389136731,16.95414217144469
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,27,4,38.31120354003133,41.699025885320275,3.3878223452889458
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,28,5,53.74570328227816,47.176863054477664,6.568840227800493
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,29,6,65.73289379286808,59.809691988298304,5.9232018045697785
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,30,7,67.95489262816392,63.20545844400811,4.74943418415581
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,31,8,68.15563189149117,66.7344380133922,1.4211938780989755
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,32,9,69.98641394961211,71.78155682739407,1.7951428777819558
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,33,10,79.22801713368243,76.19909064341404,3.0289264902683897
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,34,11,88.27909242361487,81.22085749074658,7.058234932868288
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,35,0,1.065615023947291,87.72764840747044,5.988675768698499
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,38,1,7.116208876147144,2.624359961318273,4.4918489148288705
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,39,2,25.127554492799387,32.70999153928525,7.582437046485861
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,40,3,21.16619674222841,38.33364482266094,17.167448080432532
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,41,4,38.31120354003133,41.00771680100563,2.6965132609742994
RedRC_2,real,RedSeep,RedSeep-S007,baseline,4.0,42,5,53.74570328227816,47.516998352871,6.228704929407158
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,2.0,11,2,25.127554492799387,37.646626523711866,12.51907203091248
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,2.0,12,3,21.16619674222841,37.59806551204931,16.4318687698209
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,2.0,13,4,38.31120354003133,41.80677815155422,3.4955746115228905
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,2.0,14,5,53.74570328227816,48.45701650904279,5.288686773235369
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,2.0,15,6,65.73289379286808,61.53450989038424,4.19838390248384
RedRC_2,real,RedSeep,RedSeep-S007,no_thr,2.0,16,7,67.95489262816392,67.0091295678841,0.9457630602798162
