ref_variant,preset,sigma,p90_gate_err_m,mean_gate_err_m,jump_rate,n
real,angular_scaled,2.0,13.529839433952395,5.697484763583459,0.05555555555555555,108
real,angular_scaled,4.0,13.080309107469345,6.054843049671111,0.09259259259259259,108
real,baseline,2.0,15.016231368824087,6.370192921134152,0.10185185185185185,108
real,baseline,4.0,13.920374440352806,5.960952783916804,0.09259259259259259,108
real,no_thr,2.0,12.70556523637921,5.76983416266521,0.07407407407407407,108
real,no_thr,4.0,14.054998601376807,6.130550969593912,0.08333333333333333,108
sim,angular_scaled,2.0,24.66848009919366,9.510247374812192,0.2716049382716049,162
sim,angular_scaled,4.0,22.76205434500864,10.150122731114116,0.29012345679012347,162
sim,baseline,2.0,37.33193350785791,15.124546759522683,0.4382716049382716,162
sim,baseline,4.0,38.00560341799822,15.097510539582814,0.3950617283950617,162
sim,no_thr,2.0,32.898542739930186,13.058682945581218,0.3395061728395062,162
sim,no_thr,4.0,30.110287565448463,13.42047531343062,0.3888888888888889,162
